"measure","condition","n","mean","standard_deviation","standard_error"
"team_process_communication","Baseline",200,0.16666671,0.0892966592641325,0.00631422733029726
"team_process_communication","Low",200,0.23916667,0.102594065266371,0.00725449592593465
"team_process_communication","Moderate",200,0.21979165,0.0884068270246156,0.00625130668922918
"team_process_communication","High",200,0.19333333,0.0862189110660659,0.0060965976681335
"team_process_cooperation","Baseline",200,0.477621755,0.197354822117475,0.0139550933019131
"team_process_cooperation","Low",200,0.616756395,0.204103847512599,0.0144323214642424
"team_process_cooperation","Moderate",200,0.461756495,0.216724426553271,0.0153247311664584
"team_process_cooperation","High",200,0.43205789,0.25216258511093,0.0178305873893468
"correct_decision_percent","Baseline",200,46.5,50.0025124996876,3.52686121076518
"correct_decision_percent","Low",200,75.5,43.1166467403328,3.04117575947198
"correct_decision_percent","Moderate",200,70.5,45.718716134917,3.22470928922283
"correct_decision_percent","High",200,54.5,49.9220497904121,3.52118587978539
"weighted_total_tokens_million","Baseline",200,0.07709411,0.0303852219166244,0.00214855964651032
"weighted_total_tokens_million","Low",200,0.54784056,0.209020611795111,0.0147799892008084
"weighted_total_tokens_million","Moderate",200,0.539644335,0.21447863376718,0.0151659296356399
"weighted_total_tokens_million","High",200,0.60163057,0.231237099270316,0.0163509320955947
"rounds","Baseline",200,2.41,0.771280994099618,0.0545378021128141
"rounds","Low",200,2.82,1.03097748416943,0.0729011170306849
"rounds","Moderate",200,2.465,0.782198293819585,0.0553097717792376
"rounds","High",200,2.375,0.704882469978089,0.049842717446103
"total_messages","Baseline",200,13.63,4.43411851839527,0.313539527294214
"total_messages","Low",200,23.495,9.44648907154899,0.66796764808969
"total_messages","Moderate",200,17.9,5.28009441060713,0.373359056304549
"total_messages","High",200,12.51,4.32939003676641,0.3061341053399
"agent_tool_calls","Baseline",200,3.205,1.61431255496748,0.114149135457209
"agent_tool_calls","Low",200,7.53,3.41576304592834,0.241530921270235
"agent_tool_calls","Moderate",200,5.265,1.97083636558176,0.139359175871191
"agent_tool_calls","High",200,2.705,1.83159732029685,0.129513488558501
"runtime_seconds","Baseline",200,56.400088,21.6893758579655,1.53367047488712
"runtime_seconds","Low",200,449.3971715,180.357234179447,12.7531823324337
"runtime_seconds","Moderate",200,426.3013035,205.699182232974,14.5451286641463
"runtime_seconds","High",200,438.5293795,241.037548596779,17.0439285133364
