run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d,similarity_emily_brooks_james_carter,similarity_emily_brooks_sarah_mitchell,similarity_james_carter_sarah_mitchell
low_treatment_20260604_140134_014,low,treatment,low_treatment_20260604_140134_014,completed,20260604_153434,2026-06-04T15:41:39+0200,3,8,10,20,27,28,160171,80779,240950,321290.83,424.1201,Candidate D,consensus,Candidate C,0,0.942542,0.933249,0.956545,0.942542,0.444444,0.418907,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_014/metadata.json,0,0,0,3,0.937831,0.956545,0.933249
low_treatment_20260604_140134_015,low,treatment,low_treatment_20260604_140134_015,completed,20260604_154141,2026-06-04T15:46:56+0200,2,6,6,12,17,18,106765,58734,165499,321290.83,314.3342,Candidate C,consensus,Candidate C,1,0.935275,0.91797,0.956825,0.935275,0.666667,0.623517,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_015/metadata.json,0,0,3,0,0.91797,0.956825,0.931029
low_treatment_20260604_140134_016,low,treatment,low_treatment_20260604_140134_016,completed,20260604_154659,2026-06-04T15:53:48+0200,3,9,9,18,27,27,152879,78356,231235,321290.83,408.5983,Candidate C,consensus,Candidate C,1,0.94992,0.937378,0.959934,0.94992,0.833333,0.7916,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_016/metadata.json,0,0,3,0,0.937378,0.959934,0.952448
low_treatment_20260604_140134_017,low,treatment,low_treatment_20260604_140134_017,completed,20260604_155351,2026-06-04T16:01:01+0200,3,9,8,16,26,25,154453,81149,235602,321290.83,430.3938,Candidate C,consensus,Candidate C,1,0.948283,0.942848,0.95176,0.948283,0.777778,0.737554,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_017/metadata.json,0,0,3,0,0.950241,0.95176,0.942848
low_treatment_20260604_140134_018,low,treatment,low_treatment_20260604_140134_018,completed,20260604_160104,2026-06-04T16:12:46+0200,5,15,11,22,43,37,249400,136126,385526,321290.83,701.8722,Candidate C,consensus,Candidate C,1,0.925128,0.906133,0.936148,0.925128,0.611111,0.565356,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_018/metadata.json,0,0,3,0,0.906133,0.933102,0.936148
low_treatment_20260604_140134_019,low,treatment,low_treatment_20260604_140134_019,completed,20260604_161249,2026-06-04T16:17:03+0200,2,6,5,10,18,16,93267,47803,141070,321290.83,254.277,Candidate A,consensus,Candidate C,0,0.958497,0.953621,0.962812,0.958497,0.333333,0.319499,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_019/metadata.json,3,0,0,0,0.953621,0.959058,0.962812
low_treatment_20260604_140134_020,low,treatment,low_treatment_20260604_140134_020,completed,20260604_161706,2026-06-04T16:21:46+0200,2,6,5,10,16,16,96920,52609,149529,321290.83,279.855,Candidate B,consensus,Candidate C,0,0.928878,0.920671,0.933883,0.928878,0.555556,0.516044,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_020/metadata.json,0,3,0,0,0.93208,0.933883,0.920671
low_treatment_20260604_140134_021,low,treatment,low_treatment_20260604_140134_021,completed,20260604_162149,2026-06-04T16:36:28+0200,2,6,3,6,18,12,85903,55871,141774,321290.83,878.8534,Candidate C,consensus,Candidate C,1,0.929042,0.919416,0.945899,0.929042,0.666667,0.619362,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_021/metadata.json,0,0,3,0,0.92181,0.945899,0.919416
low_treatment_20260604_140134_022,low,treatment,low_treatment_20260604_140134_022,completed,20260604_163630,2026-06-04T16:47:35+0200,5,15,14,28,45,43,256513,128100,384613,321290.83,664.7215,Candidate C,max_round_majority_vote,Candidate C,1,0.946111,0.940093,0.956359,0.946111,0.833333,0.788426,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_022/metadata.json,0,1,2,0,0.94188,0.956359,0.940093
low_treatment_20260604_140134_023,low,treatment,low_treatment_20260604_140134_023,completed,20260604_164738,2026-06-04T17:01:46+0200,2,6,4,8,18,14,87712,50488,138200,321290.83,847.8753,Candidate C,consensus,Candidate C,1,0.953199,0.949106,0.960821,0.953199,0.777778,0.741377,c_decisive_evidence_coverage_x_memory_similarity,01_data/raw/simulations/low/low_treatment_20260604_140134_023/metadata.json,0,0,3,0,0.949106,0.949669,0.960821
