run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
moderate_treatment_20260608_192144_023,moderate,treatment,moderate_treatment_023,completed,20260608_221611,2026-06-08T22:24:35+0200,3,9,5,10,24,19,176882,98286,275168,,503.9279,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_023/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_024,moderate,treatment,moderate_treatment_024,completed,20260608_222439,2026-06-08T22:31:22+0200,2,6,7,14,18,20,139416,75758,215174,,403.3673,Candidate D,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_024/metadata.json,0,0,0,3
moderate_treatment_20260608_192144_025,moderate,treatment,moderate_treatment_025,completed,20260608_223125,2026-06-08T22:41:40+0200,3,9,7,14,27,23,205017,115954,320971,,614.9382,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_025/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_026,moderate,treatment,moderate_treatment_026,completed,20260608_224143,2026-06-08T22:47:27+0200,2,6,5,10,18,16,119580,66597,186177,,343.8084,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_026/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_027,moderate,treatment,moderate_treatment_027,completed,20260608_224730,2026-06-08T22:57:15+0200,3,9,8,16,26,25,210605,111395,322000,,584.7084,Candidate A,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_027/metadata.json,3,0,0,0
moderate_treatment_20260608_192144_028,moderate,treatment,moderate_treatment_028,completed,20260608_225718,2026-06-08T23:03:15+0200,2,6,5,10,17,16,116694,67534,184228,,357.1316,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_028/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_029,moderate,treatment,moderate_treatment_029,completed,20260608_230318,2026-06-08T23:09:37+0200,2,6,4,8,16,14,114167,72893,187060,,378.9264,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_029/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_030,moderate,treatment,moderate_treatment_030,completed,20260608_230941,2026-06-08T23:28:33+0200,3,9,6,12,27,21,194021,105811,299832,,1132.5821,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_030/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_031,moderate,treatment,moderate_treatment_031,completed,20260608_232836,2026-06-08T23:33:42+0200,2,6,2,4,18,10,92226,57823,150049,,305.9175,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_031/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_032,moderate,treatment,moderate_treatment_032,completed,20260608_233345,2026-06-08T23:39:41+0200,2,6,5,10,17,16,118876,67918,186794,,355.9085,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_032/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_033,moderate,treatment,moderate_treatment_033,completed,20260608_233945,2026-06-08T23:45:49+0200,2,6,4,8,16,14,109869,70142,180011,,364.584,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_033/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_034,moderate,treatment,moderate_treatment_034,completed,20260608_234552,2026-06-09T00:05:38+0200,4,12,5,10,32,22,283083,186959,470042,,1186.4436,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_034/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_035,moderate,treatment,moderate_treatment_035,completed,20260609_000541,2026-06-09T00:15:26+0200,3,9,7,14,25,23,208747,110098,318845,,584.1497,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_035/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_036,moderate,treatment,moderate_treatment_036,completed,20260609_001528,2026-06-09T00:20:54+0200,2,6,4,8,17,14,109350,61988,171338,,325.8525,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_036/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_037,moderate,treatment,moderate_treatment_037,completed,20260609_002058,2026-06-09T00:29:35+0200,3,9,5,10,24,19,179544,100114,279658,,516.4595,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_037/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_038,moderate,treatment,moderate_treatment_038,completed,20260609_002938,2026-06-09T00:39:04+0200,3,9,5,10,26,19,181159,110874,292033,,566.3042,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_038/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_039,moderate,treatment,moderate_treatment_039,completed,20260609_003907,2026-06-09T00:44:34+0200,2,6,3,6,18,12,98702,64325,163027,,327.2238,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_039/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_040,moderate,treatment,moderate_treatment_040,completed,20260609_004438,2026-06-09T00:50:29+0200,2,6,4,8,18,14,111127,66719,177846,,351.8149,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_040/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_041,moderate,treatment,moderate_treatment_041,completed,20260609_005033,2026-06-09T00:57:11+0200,2,5,11,22,18,27,159162,74082,233244,,398.154,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_041/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_042,moderate,treatment,moderate_treatment_042,completed,20260609_005714,2026-06-09T01:02:46+0200,2,6,4,8,18,14,103704,65048,168752,,331.9006,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_042/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_043,moderate,treatment,moderate_treatment_043,completed,20260609_010249,2026-06-09T01:13:34+0200,3,9,10,20,27,29,236729,121689,358418,,645.137,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_043/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_044,moderate,treatment,moderate_treatment_044,completed,20260609_011338,2026-06-09T01:20:07+0200,2,6,8,16,18,22,145653,72987,218640,,389.2962,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_044/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_045,moderate,treatment,moderate_treatment_045,completed,20260609_012011,2026-06-09T01:25:42+0200,2,6,4,8,18,14,106706,63719,170425,,331.4306,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_045/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_046,moderate,treatment,moderate_treatment_046,completed,20260609_012545,2026-06-09T01:31:35+0200,2,6,4,8,16,14,105624,66443,172067,,349.352,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_046/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_047,moderate,treatment,moderate_treatment_047,completed,20260609_013138,2026-06-09T01:42:58+0200,3,9,8,16,27,25,203080,123601,326681,,680.0002,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_047/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_048,moderate,treatment,moderate_treatment_048,completed,20260609_014301,2026-06-09T01:48:31+0200,2,6,2,4,18,10,95914,63939,159853,,330.1843,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_048/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_049,moderate,treatment,moderate_treatment_049,completed,20260609_014834,2026-06-09T01:56:18+0200,3,9,3,6,26,15,155205,91252,246457,,463.0902,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_049/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_050,moderate,treatment,moderate_treatment_050,completed,20260609_015621,2026-06-09T02:01:34+0200,2,6,4,8,18,14,108996,60074,169070,,313.981,Candidate D,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_050/metadata.json,0,0,0,3
moderate_treatment_20260608_192144_051,moderate,treatment,moderate_treatment_051,completed,20260609_020138,2026-06-09T02:07:35+0200,2,6,3,6,17,12,101846,69922,171768,,357.8437,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_051/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_052,moderate,treatment,moderate_treatment_052,completed,20260609_020738,2026-06-09T02:12:46+0200,2,6,4,8,17,14,106942,57864,164806,,307.8142,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_052/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_053,moderate,treatment,moderate_treatment_053,completed,20260609_021250,2026-06-09T02:18:36+0200,2,6,5,10,17,16,119246,65402,184648,,346.7769,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_053/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_054,moderate,treatment,moderate_treatment_054,completed,20260609_021839,2026-06-09T02:24:12+0200,2,6,3,6,18,12,103344,63433,166777,,332.3441,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_054/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_055,moderate,treatment,moderate_treatment_055,completed,20260609_022414,2026-06-09T02:29:39+0200,2,6,5,10,17,16,109985,62356,172341,,324.8887,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_055/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_056,moderate,treatment,moderate_treatment_056,completed,20260609_022943,2026-06-09T02:43:37+0200,4,12,8,16,34,28,272779,152953,425732,,834.6095,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_056/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_057,moderate,treatment,moderate_treatment_057,completed,20260609_024340,2026-06-09T02:49:46+0200,2,6,3,6,16,12,108560,72066,180626,,365.717,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_057/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_058,moderate,treatment,moderate_treatment_058,completed,20260609_024949,2026-06-09T02:54:45+0200,2,6,3,6,18,12,95567,57867,153434,,296.638,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_058/metadata.json,0,0,3,0
