run_id,context_transparency_condition,smm_mode,speaker_order_seed,status,timestamp,completed_at,rounds,agent_turns,agent_tool_calls,agent_tool_messages,memory_updates,total_messages,input_tokens,output_tokens,total_tokens,tokens_per_correct_decision,runtime_seconds,final_candidate,decision_method,correct_candidate,decision_correct,mean_pairwise_memory_similarity,min_pairwise_memory_similarity,max_pairwise_memory_similarity,smm_similarity,smm_evidence_share,smm_quality,smm_quality_method,metadata_file,votes_candidate_a,votes_candidate_b,votes_candidate_c,votes_candidate_d
moderate_treatment_20260608_192144_076,moderate,treatment,moderate_treatment_076,completed,20260609_045555,2026-06-09T05:01:48+0200,2,6,5,10,18,16,118262,66795,185057,,353.5235,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_076/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_077,moderate,treatment,moderate_treatment_077,completed,20260609_050151,2026-06-09T05:10:37+0200,3,9,5,10,26,19,177632,100792,278424,,525.913,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_077/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_078,moderate,treatment,moderate_treatment_078,completed,20260609_051040,2026-06-09T05:18:35+0200,3,9,5,10,26,19,171999,91717,263716,,474.6151,Candidate A,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_078/metadata.json,3,0,0,0
moderate_treatment_20260608_192144_079,moderate,treatment,moderate_treatment_079,completed,20260609_051838,2026-06-09T05:23:24+0200,2,6,1,2,16,8,83745,55834,139579,,286.5701,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_079/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_080,moderate,treatment,moderate_treatment_080,completed,20260609_052328,2026-06-09T05:29:48+0200,2,6,6,12,17,18,122719,68677,191396,,379.7618,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_080/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_081,moderate,treatment,moderate_treatment_081,completed,20260609_052951,2026-06-09T05:36:33+0200,2,6,5,10,18,16,133709,72853,206562,,401.1437,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_081/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_082,moderate,treatment,moderate_treatment_082,completed,20260609_053636,2026-06-09T05:50:49+0200,5,15,10,20,43,35,405813,158056,563869,,852.9444,Candidate B,max_round_majority_vote,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_082/metadata.json,0,2,0,1
moderate_treatment_20260608_192144_083,moderate,treatment,moderate_treatment_083,completed,20260609_055052,2026-06-09T05:56:06+0200,2,6,4,8,16,14,108084,61065,169149,,314.8145,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_083/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_084,moderate,treatment,moderate_treatment_084,completed,20260609_055609,2026-06-09T06:02:04+0200,2,6,3,6,16,12,106979,68866,175845,,354.3582,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_084/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_085,moderate,treatment,moderate_treatment_085,completed,20260609_060207,2026-06-09T06:07:16+0200,2,6,4,8,18,14,108992,60171,169163,,309.0256,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_085/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_086,moderate,treatment,moderate_treatment_086,completed,20260609_060719,2026-06-09T06:13:34+0200,2,6,6,12,18,18,124321,70538,194859,,375.1067,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_086/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_087,moderate,treatment,moderate_treatment_087,completed,20260609_061337,2026-06-09T06:19:21+0200,2,6,4,8,17,14,110449,64090,174539,,344.2355,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_087/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_088,moderate,treatment,moderate_treatment_088,completed,20260609_061924,2026-06-09T06:28:17+0200,3,9,7,14,27,23,198266,100216,298482,,533.0452,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_088/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_089,moderate,treatment,moderate_treatment_089,completed,20260609_062820,2026-06-09T06:37:27+0200,3,9,7,14,25,23,198132,103180,301312,,546.8384,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_089/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_090,moderate,treatment,moderate_treatment_090,completed,20260609_063731,2026-06-09T06:47:44+0200,3,9,6,12,26,21,189010,112956,301966,,613.5516,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_090/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_091,moderate,treatment,moderate_treatment_091,completed,20260609_064748,2026-06-09T06:56:03+0200,3,9,5,10,27,19,173265,94259,267524,,495.3005,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_091/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_092,moderate,treatment,moderate_treatment_092,completed,20260609_065606,2026-06-09T07:07:40+0200,4,12,4,8,36,20,255522,133088,388610,,694.2691,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_092/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_093,moderate,treatment,moderate_treatment_093,completed,20260609_070743,2026-06-09T07:13:31+0200,2,6,4,8,17,14,103409,68129,171538,,347.8109,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_093/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_094,moderate,treatment,moderate_treatment_094,completed,20260609_071335,2026-06-09T07:19:20+0200,2,6,5,10,17,16,110782,66385,177167,,345.8039,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_094/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_095,moderate,treatment,moderate_treatment_095,completed,20260609_071923,2026-06-09T07:26:56+0200,3,9,5,10,26,19,167480,86310,253790,,453.0254,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_095/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_096,moderate,treatment,moderate_treatment_096,completed,20260609_072659,2026-06-09T07:31:56+0200,2,6,1,2,17,8,89674,57817,147491,,296.8143,Candidate B,consensus,Candidate C,0,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_096/metadata.json,0,3,0,0
moderate_treatment_20260608_192144_097,moderate,treatment,moderate_treatment_097,completed,20260609_073200,2026-06-09T07:41:42+0200,3,9,5,10,26,19,190522,110628,301150,,581.6594,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_097/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_098,moderate,treatment,moderate_treatment_098,completed,20260609_074144,2026-06-09T07:50:30+0200,3,9,5,10,26,19,176757,100583,277340,,525.4463,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_098/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_099,moderate,treatment,moderate_treatment_099,completed,20260609_075033,2026-06-09T07:57:07+0200,2,6,5,10,18,16,117242,76231,193473,,393.8098,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_099/metadata.json,0,0,3,0
moderate_treatment_20260608_192144_100,moderate,treatment,moderate_treatment_100,completed,20260609_075710,2026-06-09T08:02:37+0200,2,6,4,8,15,14,106082,62195,168277,,327.0344,Candidate C,consensus,Candidate C,1,,,,,,,,01_data/raw/simulations/moderate/moderate_treatment_20260608_192144_100/metadata.json,0,0,3,0
