agent_tool_calls,agent_turns,all_evidence_shared_recall,all_evidence_union_recall,condition,cooperation_behavior_score,coordination_accuracy,decision_correct,decision_method,decision_state_accuracy,evidence_quality,final_candidate,important_evidence_shared_recall,important_evidence_union_recall,metadata_file,old_embedding_similarity,old_smm_quality,public_important_fact_recall,quality_penalty,rounds,run_id,similarity_candidate_coverage_checklist,similarity_candidate_review_status,similarity_current_positions,similarity_group_decision_state,similarity_information_distribution,smm_mode,smm_quality_cognitive_only,smm_quality_cognitive_only_raw,smm_quality_prototype,smm_quality_raw,smm_quality_without_decision_state,smm_quality_without_decision_state_raw,smm_whole_similarity,tool_usefulness_score,total_tokens,unsupported_flag_count,vote_revision_score
0,6,0.614815,0.896296,high,0.379386,1.0,1,consensus,0.8,0.703947,Candidate C,0.631579,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_014/metadata.json,0.962455,0.802046,0.447368,0.0,2,high_treatment_20260606_092841_014,0.632674,0.800181,0.639435,0.699387,0.604031,treatment,0.787171,0.787171,0.733684,0.733684,0.713048,0.713048,0.69993,0.0,189957,0,0.666667
0,6,0.585185,0.844444,high,0.389474,1.0,1,consensus,1.0,0.671053,Candidate C,0.631579,0.789474,01_data/backup/backup_01/high/high_treatment_20260606_092841_015/metadata.json,0.957076,0.531709,0.526316,0.0,2,high_treatment_20260606_092841_015,0.844561,0.79673,0.544478,0.830175,0.671587,treatment,0.819079,0.819079,0.760395,0.760395,0.696974,0.696974,0.745336,0.0,166461,0,0.5
3,6,0.807407,1.0,high,0.730702,1.0,1,consensus,0.8,0.822368,Candidate C,0.763158,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_016/metadata.json,0.953863,0.847878,0.631579,0.0,2,high_treatment_20260606_092841_016,0.844561,0.835581,0.674335,0.808586,0.663598,treatment,0.852303,0.852303,0.839671,0.839671,0.848443,0.848443,0.772497,1.0,235688,0,0.666667
2,6,0.562963,0.874074,high,0.697368,1.0,1,consensus,0.8,0.664474,Candidate C,0.605263,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_017/metadata.json,0.943758,0.681603,0.631579,0.0,2,high_treatment_20260606_092841_017,0.771504,0.802138,0.652586,0.826776,0.697405,treatment,0.765461,0.765461,0.763618,0.763618,0.754934,0.754934,0.760623,1.0,206594,0,0.5
2,6,0.533333,0.955556,high,0.57511,1.0,1,consensus,1.0,0.585526,Candidate C,0.473684,0.921053,01_data/backup/backup_01/high/high_treatment_20260606_092841_018/metadata.json,0.946572,0.578461,0.473684,0.0,2,high_treatment_20260606_092841_018,0.690867,0.766357,0.518881,0.701394,0.547264,treatment,0.772039,0.772039,0.749753,0.749753,0.687061,0.687061,0.664876,0.725,211724,0,0.666667
0,12,0.807407,0.896296,high,0.441667,1.0,1,consensus,0.8,0.782895,Candidate C,0.763158,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_019/metadata.json,0.947937,0.526632,0.5,0.08,4,high_treatment_20260606_092841_019,0.561433,0.842022,0.642764,0.62419,0.511895,treatment,0.750592,0.830592,0.698553,0.778553,0.688926,0.768926,0.674483,0.0,531294,4,0.833333
4,6,0.6,1.0,high,0.610526,1.0,1,consensus,0.8,0.605263,Candidate C,0.473684,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_020/metadata.json,0.950956,0.633971,0.473684,0.0,2,high_treatment_20260606_092841_020,0.819658,0.812365,0.536126,0.742983,0.65311,treatment,0.732895,0.732895,0.723947,0.723947,0.705,0.705,0.725931,1.0,218733,0,0.5
4,6,0.651852,0.807407,high,0.410033,1.0,0,consensus,0.4,0.559211,Candidate A,0.526316,0.657895,01_data/backup/backup_01/high/high_treatment_20260606_092841_021/metadata.json,0.955623,0.371631,0.342105,0.0,2,high_treatment_20260606_092841_021,0.961111,0.800894,0.528288,0.677366,0.620619,treatment,0.607566,0.607566,0.59315,0.59315,0.639572,0.639572,0.715264,0.8875,439584,0,0.0
1,6,0.688889,1.0,high,0.545833,1.0,1,consensus,0.8,0.684211,Candidate C,0.578947,1.0,01_data/backup/backup_01/high/high_treatment_20260606_092841_022/metadata.json,0.947599,0.631733,0.5,0.0,2,high_treatment_20260606_092841_022,0.919841,0.811117,0.709165,0.721439,0.795454,treatment,0.776316,0.776316,0.74977,0.74977,0.735482,0.735482,0.785628,0.55,186945,0,0.666667
3,6,0.644444,0.911111,high,0.525,1.0,0,consensus,0.4,0.684211,Candidate D,0.631579,0.842105,01_data/backup/backup_01/high/high_treatment_20260606_092841_023/metadata.json,0.945508,0.472754,0.5,0.0,2,high_treatment_20260606_092841_023,0.882323,0.782321,0.610191,0.702513,0.526974,treatment,0.676316,0.676316,0.666645,0.666645,0.731316,0.731316,0.699471,1.0,241575,0,0.0
